matcher,context_scenario,armed_with,threat_type,flee_status,body_camera,closest_cluster,first_distance,second_distance,first_vs_second_margin,distance_cluster_0,distance_cluster_1,distance_cluster_2,distance_cluster_3
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Foot,False,3,2.2833126739149123,2.305462824241957,0.022150150327044482,2.581800589553917,2.305462824241957,2.7433401003234477,2.2833126739149123
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Foot,True,3,2.403538539041531,2.4769787609194784,0.0734402218779473,2.692488022735734,2.4769787609194784,2.8598573642838043,2.403538539041531
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Missing,False,3,2.27122270437135,2.2969054528297805,0.02568274845843055,2.5901220548276287,2.2969054528297805,2.7500188223290434,2.27122270437135
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Missing,True,3,2.392056294205749,2.4690159188072633,0.07695962460151451,2.7004684273768,2.4690159188072633,2.8662646006901844,2.392056294205749
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Not Fleeing,False,3,2.1933875641386544,2.2072398712775496,0.013852307138895181,2.505462004070548,2.2072398712775496,2.6732618332109737,2.1933875641386544
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Not Fleeing,True,3,2.3182816369706964,2.385827486940711,0.06754584997001434,2.619377277559618,2.385827486940711,2.792704436009679,2.3182816369706964
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Vehicle,False,3,2.2671993612716603,2.2838525174037296,0.016653156132069302,2.5789553582637206,2.2838525174037296,2.733979684534982,2.2671993612716603
Expanded matcher,Neutral reference,Multiple Weapons,Threat,Vehicle,True,3,2.3882365221116726,2.456877544635843,0.06864102252417048,2.6897598792962145,2.456877544635843,2.8508795403270977,2.3882365221116726
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Foot,False,3,2.3288414504910446,2.342285417072107,0.013443966581062394,2.617733700600374,2.342285417072107,2.783847974272331,2.3288414504910446
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Foot,True,3,2.446831265805361,2.5112877021785356,0.06445643637317477,2.726962998577971,2.5112877021785356,2.898737446176491,2.446831265805361
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Missing,False,3,2.3169890607244295,2.3338630637434865,0.01687400301905706,2.6259412982666754,2.3338630637434865,2.7904297448567874,2.3169890607244295
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Missing,True,3,2.4355531300536444,2.503433991218987,0.06788086116534275,2.7348428054089147,2.503433991218987,2.905058932102266,2.4355531300536444
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Not Fleeing,False,3,2.2407442382348917,2.245673616183858,0.004929377948966529,2.5424742470434545,2.245673616183858,2.714815549299803,2.2407442382348917
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Not Fleeing,True,3,2.363136788884701,2.4214282848163773,0.05829149593167626,2.654801831631433,2.4214282848163773,2.8325064350722378,2.363136788884701
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Vehicle,False,3,2.3130453256292642,2.3210179797490382,0.007972654119773992,2.6149275674395134,2.3210179797490382,2.7746242183884107,2.3130453256292642
Expanded matcher,Neutral reference,Multiple Weapons,Unclear Threat,Vehicle,True,3,2.43180168192491,2.4914633070552736,0.05966162513036366,2.724269379358356,2.4914633070552736,2.8898804112407737,2.43180168192491
Expanded matcher,Neutral reference,Other,Accident,Foot,False,3,2.3438617601904963,2.3548624667084987,0.011000706518002445,2.625555633668191,2.3548624667084987,2.792114879209833,2.3438617601904963
Expanded matcher,Neutral reference,Other,Accident,Foot,True,3,2.46113158784343,2.523022430577447,0.06189084273401724,2.7344725001069596,2.523022430577447,2.9066776114166126,2.46113158784343
Expanded matcher,Neutral reference,Other,Accident,Missing,False,3,2.33208570959018,2.3464852572283323,0.01439954763815221,2.6337388557277888,2.3464852572283323,2.7986772082228946,2.33208570959018
Expanded matcher,Neutral reference,Other,Accident,Missing,True,3,2.449919284113696,2.5152053614912657,0.06528607737756964,2.7423307292383154,2.5152053614912657,2.912981866375405,2.449919284113696
